Root.MES.1	Root.MES.2	Root.MES.3	Root.ATP.1	Root.ATP.2	Root.ATP.3	ATP.raw.pvals.present	ATP.fdr.pvals.present
245012_at	11.7431970029841	11.6134638132462	11.3026375085983	12.3718750403308	11.5283637154032	11.8163681897556	0.296170425247719	0.565444841651234
245013_at	14.6303433187437	14.6148184691268	14.3945914144836	14.6302632612923	14.4295169017915	14.8748538837778	0.554736825576618	0.754309805746806
245014_at	13.5552997627048	13.7504781960102	13.4071532270472	14.1976368185345	13.3780125502289	13.8547347450436	0.429056054269803	0.671660736935983
245015_at	10.0615772758374	9.81072813850959	9.02611695446908	10.3849212572198	10.32381292878	10.9077130663413	0.0812830377770704	0.350711346579163
245016_at	9.31872708548654	9.49819825324955	9.43227379757618	9.42580116277327	9.4484508337679	9.58642343510483	0.386471812102339	0.638105105613779
245017_at	10.7271269971399	11.0623818036061	10.8139107252762	11.9616611268323	11.3262013417504	11.7385402705864	0.0302757173053507	0.289917759474267
245018_at	8.0414465025791	7.97420345271908	7.94515192301942	9.57438909788299	8.90260765389155	9.62758205573498	0.0259051997356707	0.289172762629658
245019_at	8.75586817045134	9.0727476821407	8.33330579192347	10.2913935881263	9.58126440837402	10.1922666631311	0.0135461884245144	0.27011523763789
245020_at	11.0682606644502	11.3092035131485	10.5228452233398	11.9849927828244	11.6491129856515	12.1496020748104	0.0328826244983185	0.293118637342642
245021_at	10.6569807065772	11.2633627447403	10.564778043319	12.5142195355991	11.5480965500068	11.9224923010654	0.0334600540856262	0.293363796969731
245022_at	8.70541351399778	9.20084678510418	8.97226456698576	10.0473829660758	9.25230742786611	9.48530982585757	0.0968336328686523	0.366268956348642
245023_at	12.0390187093778	12.4709179975362	11.4845037699495	12.1430898142721	12.46033936446	11.9007396320435	0.638725577910296	0.810984159873858
245024_at	11.8473471722936	11.9427505239278	10.4140991356164	11.1234792839389	11.9634927026129	11.7722327220568	0.72085217673537	0.860330585565812
245025_at	7.86173933303756	8.47905507761878	8.30123196043461	9.63493796019591	8.36385129106776	8.87194102007455	0.171653018036873	0.448912115117156
245026_at	8.6469475771571	9.24566800673066	8.69388049161278	10.5089049181116	9.29466472677253	10.0142351589123	0.0724763974434143	0.341177886026774
245027_at	6.2934547254205	7.00481427945183	6.85561618510037	7.25665209567186	7.24680769640033	6.6396621067874	0.330133757820984	0.593242306642676
245028_at	8.6579927654563	8.55637554152417	8.61694814817556	7.91555675757503	8.7069292580774	8.33159042310512	0.328653502267776	0.592307509737205
245029_at	5.01859524089559	5.57264385732396	4.59923698248724	7.37609595346785	4.83709482469652	6.62412423369863	0.243054017647365	0.518427355763644
245030_at	3.40252132523339	-0.718426118872203	3.57881450599246	3.27580188375336	-2.03672977233632	-0.591345461449006	0.427446210543742	0.670666450700638
245031_at	7.09129805565625	7.72056046582588	7.66465939702611	6.66483779166949	7.05090683188749	6.52926306863885	0.0464511035823678	0.310495095786921
245032_at	5.15076724605672	4.51326502318409	4.31410997696562	5.17696290065186	4.89706313756338	5.64149729330891	0.158464893670524	0.434292618576814
245033_at	7.10164646274244	6.43586271205504	6.58898241055643	7.27669263581638	6.65451199829405	6.65551377009793	0.623568988548768	0.800743603490255
245034_at	6.6349357272183	6.45787781828776	6.32304751087385	6.74650875331995	6.58591674387643	6.66849805443092	0.150912077496461	0.425965869254531
245035_at	10.6367378717895	11.2280774377563	11.874982459988	10.9061412772176	11.8313822422061	11.6688198174681	0.653727798534729	0.8212215662553
245036_at	5.71779352978207	5.80068644622077	5.78687245900545	4.92325826530807	4.23945633969915	4.59891102894737	0.0252110444072877	0.28910018736424
245037_at	5.13331080044108	4.39939628081226	4.91070353557489	4.294549357116	5.13955715370732	3.86679432270049	0.439451594819796	0.679360449757966
245038_at	10.856229629634	10.3053219408201	9.11902601262636	10.8737701796021	10.6854832927422	10.6524536685647	0.33555790145596	0.596966847532489
245039_at	8.64389149443851	8.84893871228812	8.91327357507921	8.62922915554393	9.07413169247981	8.90140271442575	0.691175217243311	0.844074761470474
245040_at	4.94740296058586	5.2305277985703	5.45944295683662	5.60569972023743	4.1217420481787	2.08030824461355	0.337535318048416	0.598692115449795
245041_at	12.1327002142092	12.0295809895452	11.8955955177127	12.6506477343088	12.0236027487091	11.9700041118945	0.470326447072485	0.699239980003483
245042_at	7.19378978532918	7.39644009414915	7.32556803349984	7.96463537094588	7.11019336363974	8.16134550867327	0.304569178518674	0.572789755675054
245043_at	10.758401955102	10.6924385800511	10.5888671892907	10.5410278064825	10.6280838045795	10.6802081670524	0.378752360823527	0.632387106903948
245044_at	11.8585159924182	12.5677674766378	11.920549286919	14.071953358632	13.2197809056399	13.8603750342131	0.00977508505264836	0.259942976531138
245045_at	11.1996218286435	11.0664260017962	11.1999259377977	10.918485258945	10.5963372373012	10.8326841940048	0.043189274014621	0.307169670169171
245046_at	9.94362394705545	9.75614328999403	9.86566096294852	9.36967200929766	9.78690471419985	9.53863919006084	0.124173459491546	0.396904099181429
245047_at	10.1962598637055	10.9586510390784	10.1516213870697	12.6606393613509	11.871350253862	12.1243481202055	0.00729248741650479	0.256635211975216
245048_at	11.0556806560167	10.5011000096608	10.7161945957014	11.6316518473666	10.9080260878049	11.1006835750506	0.172369354713282	0.449085663165044
245049_at	5.68252782259061	4.70315617736513	5.34825919081144	5.64935002140471	5.58232820368118	5.38501125596875	0.415800614532015	0.661388140843414
245050_at	12.431167789115	13.0123756492696	11.6084074909773	12.3620155912546	12.9116733326267	12.4708486715953	0.640747792591751	0.812471458684018
245051_at	9.5389923511661	9.77588764639673	9.43786408883318	10.4650808099531	9.94085431580199	10.3231681837009	0.0311993228072559	0.290709376320877
245052_at	7.6818197842914	7.25995008521798	5.74893237355939	7.50073084967145	7.69483273829761	7.72426406758378	0.332536348832371	0.595194139741555
245053_at	2.1127954335206	4.29835558356651	4.86986437567652	0.0437692759719778	3.23133970818891	3.37264886184481	0.327481246887306	0.591385690721245
245054_at	7.418399672521	7.74703318983782	7.84529576695042	6.87929317292772	7.27445122275566	7.19529927750373	0.0352576057457013	0.297525181374425
245055_at	6.62096504481881	6.50117351916625	6.2976286063143	5.95842079906173	5.87705563261393	5.49947573128849	0.0197452401515132	0.279743179759461
245056_at	7.09157713329316	6.67116087111331	6.71710109286075	5.94117243610671	6.51516048063618	6.29266888764843	0.0569577017729415	0.321674149062846
245057_at	1.90478003186413	1.4095707980673	2.0507037485065	1.36627734486037	-0.227646052918756	0.506730499534323	0.0990345621923245	0.369386606119558
245058_at	1.83144547212959	0.769621844849462	1.30235598739739	0.84092722812594	1.4031872909751	2.27523223272392	0.713657621960881	0.855863846315862
245059_at	8.59242671657216	8.64429454712336	8.80219435549494	8.67607099230821	8.81443439452889	8.90410607719059	0.265071322451814	0.537399063649975
245060_at	12.6259285392691	12.7374453707467	12.7733284406213	12.7408804906292	12.9682232187563	13.3006256736207	0.209829268779156	0.486898088245434
245061_at	12.9266376288955	13.1658230249832	12.1416254535854	14.2311678893597	13.5398406565852	14.1967638628987	0.0356635265632107	0.298675332210823
245062_at	9.3945448780237	9.58157925453872	9.67844624294203	9.31296979551219	9.53503981992392	9.55033103203887	0.492975446689124	0.716236687833234
245063_at	8.27798857198676	8.15586174132342	8.37010389468562	8.51855885143955	8.09778145105926	7.77803325522026	0.595137651946024	0.781975221249355
245064_at	9.08769200373638	9.16863485804946	9.45858292953726	8.92980626014524	9.06004497678426	8.83257837083022	0.100695222616703	0.370879707393347
245065_at	8.99695509463691	8.98891173353164	9.2404179534852	8.82972317762025	8.84481387243208	8.81973595569774	0.0967564579955916	0.36613688288975
245066_at	8.20983551766932	8.4571851377067	8.35723318803393	8.50634375983745	9.14908043355713	8.85323730129891	0.102478328274769	0.372825268977975
