ID	logFC	P.Value
245530_at	0.1112212	0.935180694
245531_at	0.655078312	0.583213943
245532_at	0.141698592	0.450803378
245533_at	0.231474801	0.059105889
245534_at	-0.121012093	0.933352229
245535_at	-0.5774381	0.337044239
245536_at	-0.405177704	0.030141963
245537_at	-0.510030398	0.283405087
245538_at	-0.146365297	0.938058733
245539_at	-0.612012873	0.52687238
245540_at	-0.684844778	0.063325003
245541_at	-0.428614003	0.419662393
245542_at	-2.310308754	0.161881779
245543_at	0.602415735	0.0437959
245544_at	0.114152685	0.757853659
245545_at	-0.124770608	0.452940842
245546_at	-0.375562117	0.226957108
245547_at	-0.649363431	0.112595831
245548_at	-0.057905888	0.891997931
245549_at	-0.16012803	0.873777403
245550_at	-0.43750114	0.250005676
245551_at	-0.858340207	0.488455615
245552_at	-0.835195718	0.24107454
245553_at	-0.063948127	0.868514792
245554_at	-0.684592042	0.068466342
245555_at	-0.264430268	0.241750691
245556_at	-0.379716956	0.284820024
245557_at	-0.459346232	0.013359049
245558_at	-0.138050768	0.574192157
245559_at	1.627356991	0.159583835
245560_at	-0.819956718	0.597868475
245561_at	-0.739944961	0.061771566
245562_at	0.229634359	0.104612039
245563_at	-0.639561791	0.067432696
245564_at	-0.422622512	0.159612335
245565_at	-0.24818083	0.364934113
245566_at	0.310739547	0.117143146
245567_at	0.704922878	0.053255702
245568_at	-0.463672669	0.088408153
245569_at	-0.052427815	0.863401373
245570_at	0.052921011	0.970425013
245571_at	-0.30284218	0.347466468
245572_at	0.078482933	0.791697305
245573_at	-0.094314795	0.953074347
245574_at	-0.889586334	0.112289667
245575_at	-0.705943653	0.04675123
245576_at	-0.384257805	0.14382714
245577_at	-0.599330647	0.212787404
245578_at	-0.110781168	0.56588245
245579_at	-0.839039685	0.439949378
245580_at	-0.193085884	0.348001534
245581_at	0.062203255	0.836518884
245582_at	-0.630602486	0.020450093
245583_at	-0.183364264	0.561925877
245584_at	-0.647958265	0.060813968
245585_at	-0.206455198	0.708809819
245586_at	-0.368512122	0.358083428
245587_at	0.089043682	0.566983944
245588_at	-0.683296902	0.063867937
245589_at	-0.887260655	0.351563921
245590_at	-1.014425933	0.321489521
245591_at	-0.683957429	0.715335901
245592_at	1.833460714	0.00287125
245593_at	0.001290691	0.99647589
245594_at	-0.397854063	0.124030387
245595_at	0.443793915	0.265452019
245596_at	-1.060352342	0.170629426
245597_at	-0.179468383	0.505397576
245598_at	0.16679029	0.71402085
245599_at	-0.26722914	0.219236087
245600_at	-0.118269644	0.510446891
245601_at	-0.19915024	0.378068069
245602_at	0.08813381	0.520780905
245603_at	-0.92224273	0.392608813
245604_at	-0.114020497	0.745354642
245605_at	0.098543171	0.192541559
245606_at	-0.545689543	0.234314508
245607_at	-0.385851343	0.188007236
245608_at	-0.737995114	0.02674612
245609_at	-0.047844197	0.943906514
245610_at	-0.516412834	0.159139092
245611_at	-0.304933431	0.369333328
245612_at	0.662577867	0.062571446
245613_at	0.972465643	0.029633384
245614_at	0.728652264	0.619797829
245615_at	1.008544117	0.245457641
245616_at	2.255705387	0.229088629
245617_at	-0.37202656	0.624475998
245618_at	-0.402202836	0.041487784
245619_at	-0.441883225	0.463571108
245620_at	-0.72597162	0.546962156
245621_at	0.541288049	0.153404165
245622_at	2.17964036	0.134168365
245623_s_at	-0.630405394	0.325882747
245624_at	-0.332499606	0.818912252
245625_at	-0.207927251	0.281268385
245626_at	-0.220047545	0.175376462
245627_at	0.578897266	0.534440618
245628_at	-1.96232057	0.247219603
245629_at	0.116240718	0.323410943
245630_at	-0.399747407	0.459684639
245631_at	-0.58246738	0.013919239
245632_at	0.625532507	0.047446815
245633_at	-0.53159428	0.055562446
245634_at	-1.067681927	0.323234221
245635_at	0.46832942	0.137193261
245636_at	-0.838390471	0.129057335
245637_at	0.153668208	0.507456366
245638_s_at	-0.347535171	0.04978457
245639_at	0.062706264	0.071693813
245640_at	-0.451220137	0.735950479
