GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
245217_at	A	A	A	A	A	A	A	A	A	A	A	A
245218_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245219_at	P	P	P	P	P	P	P	P	P	P	P	P
245220_at	A	A	A	A	A	A	A	A	A	A	A	A
245221_s_at	M	A	A	A	A	A	A	A	A	P	A	A
245222_at	A	A	A	A	A	A	A	A	A	A	A	A
245223_at	A	A	A	A	A	A	A	A	A	A	A	A
245224_at	A	A	A	A	A	A	A	A	A	A	P	A
245225_at	A	A	A	A	A	A	A	A	A	A	A	A
245226_at	P	P	P	P	P	P	P	P	P	P	P	P
245227_s_at	P	P	P	P	P	P	P	P	P	P	P	P
245228_at	P	P	P	P	P	P	P	P	P	P	P	P
245229_at	P	P	P	P	P	P	P	P	P	P	P	P
245230_at	P	P	P	P	P	P	P	P	P	P	P	P
245231_at	P	P	P	P	P	P	P	P	P	P	P	P
245232_at	A	A	A	A	A	A	A	A	A	A	A	A
245233_at	A	A	M	A	A	A	P	A	A	A	A	A
245234_at	P	P	P	M	P	P	P	P	P	P	P	P
245235_at	P	P	P	P	P	P	P	P	P	P	P	P
245236_at	P	M	P	P	M	P	P	P	P	P	P	P
245237_at	P	P	P	P	P	P	P	P	P	P	P	P
245238_at	P	P	P	P	P	P	P	P	P	P	P	P
245239_at	A	A	A	A	A	A	A	A	A	A	A	A
245240_at	A	A	A	A	A	A	A	A	A	A	A	A
245241_at	A	A	A	A	A	A	A	A	A	A	A	A
245242_at	P	P	P	P	P	P	P	P	P	P	P	P
245243_at	P	P	P	P	P	P	P	P	P	P	P	P
245244_at	P	P	P	P	P	P	P	P	P	P	P	P
245245_at	A	M	A	A	A	A	P	A	A	P	A	M
245246_at	A	A	A	A	A	A	A	A	A	A	A	A
245247_at	P	P	P	P	P	P	P	P	P	P	P	P
245248_at	P	P	P	P	P	P	P	P	P	P	P	P
245249_at	P	P	P	P	P	P	P	P	P	P	P	P
245250_at	P	P	P	P	P	P	P	P	P	P	P	P
245251_at	P	P	P	P	P	P	P	P	P	P	P	P
245252_at	P	P	P	P	P	P	P	P	P	P	P	P
245253_at	A	P	P	A	A	A	A	A	A	M	P	M
245254_at	P	P	P	P	P	P	P	P	P	P	P	P
245255_at	P	P	P	P	P	P	P	P	P	P	P	P
245256_at	P	P	P	P	P	P	P	P	P	P	P	P
245257_at	A	A	A	A	A	A	A	P	A	M	P	P
245258_at	P	P	P	P	P	P	P	P	P	P	P	P
245259_at	P	P	P	P	P	A	P	P	P	P	P	P
245260_at	P	P	P	P	P	P	P	P	P	P	P	P
245261_at	P	P	P	P	P	P	P	P	P	P	P	P
245262_at	P	P	P	P	P	P	P	P	P	P	P	P
245263_at	P	P	P	P	P	P	P	P	P	P	P	P
245264_at	P	P	P	P	P	P	P	P	P	P	P	P
245265_at	A	A	A	A	A	A	A	A	A	A	A	A
245266_at	P	P	P	P	P	P	P	P	P	P	P	P
245267_at	P	P	P	A	P	P	P	A	P	P	A	A
245268_at	P	P	P	P	P	P	P	P	P	P	P	P
245269_at	P	P	P	P	P	P	P	P	P	P	P	P
245270_at	P	P	P	P	P	P	P	P	P	P	P	P
245271_at	P	P	P	P	P	P	P	P	P	P	P	P
245272_at	A	A	A	P	P	A	M	A	M	M	A	P
245273_at	P	P	P	A	P	M	P	P	P	P	P	P
245274_at	P	P	P	P	P	P	P	P	P	P	P	P
