Reporter Identifier	VALUE
AT1G09490_2	469
AT1G09500_1	317
AT1G09500_2	74
AT1G09500_3	156
AT1G09510_1	180
AT1G09520_1	1235
AT1G09530_1	1161
AT1G09540_1	457
AT1G09550_1	178
AT1G09560_1	13719
AT1G09570_1	11014
AT1G09575_1	5368
AT1G09580_1	4812
AT1G09590_1	10087
AT1G09600_1	992
AT1G09610_1	1128
AT1G09620_1	11497
AT1G09625_1	153
AT1G09630_1	5022
AT1G09640_1	18885
AT1G09645_1	4072
AT1G09650_1	537
AT1G09660_1	6142
AT1G09660_2	4314
AT1G09665_1	184
AT1G09680_1	988
AT1G09690_1	17189
AT1G09700_1	3264
AT1G09710_1	2402
AT1G09720_1	433
AT1G09730_1	7024
AT1G09740_1	8049
AT1G09750_1	21295
AT1G09760_1	6164
AT1G09770_1	12240
AT1G09780_1	14700
AT1G09790_1	373
AT1G09795_1	1902
AT1G09800_1	2462
AT1G09810_1	1315
AT1G09812_1	992
AT1G09815_1	6631
AT1G09820_1	4474
AT1G09830_1	6099
AT1G09840_1	14088
AT1G09850_1	7667
AT1G09860_1	917
AT1G09870_1	7590
AT1G09880_1	2667
AT1G09890_1	1631
AT1G09900_1	2138
AT1G09910_1	1730
AT1G09920_1	3076
AT1G09930_1	3914
AT1G09932_1	5348
AT1G09932_2	1556
AT1G09935_1	107
AT1G09940_1	7611
AT1G09950_1	9149
AT1G09960_1	6774
AT1G09970_1	16775
AT1G09970_2	16300
AT1G09980_1	6207
